vial_ID,site_reach,site,sample_type,field_date,material,triplicate,fake_target,container
60,SFE-M-1S,SFE-M,TM,7/28/2022,mat,y,n,Eppendorf_Tube
61,SFE-M-1S,SFE-M,TM,7/28/2022,mat,y,n,Eppendorf_Tube
62,SFE-M-3,SFE-M,TAC,7/28/2022,mat,y,n,Eppendorf_Tube
63,SFE-M-4,SFE-M,TM,7/28/2022,mat,n,n,Eppendorf_Tube
64,SFE-M-3,SFE-M,TAC,7/28/2022,mat,y,n,Eppendorf_Tube
65,SFE-M-4,SFE-M,TAC,7/28/2022,mat,n,n,Eppendorf_Tube
66,SFE-M-3,SFE-M,TM,7/28/2022,mat,n,n,Eppendorf_Tube
67,SFE-M-3,SFE-M,blank,7/28/2022,filter,n,n,Eppendorf_Tube
68,SFE-M-3,SFE-M,NT,7/28/2022,filter,n,n,Eppendorf_Tube
69,RUS-3,RUS,TAC,8/2/2022,mat,y,n,Eppendorf_Tube
70,RUS-2,RUS,NT,8/2/2022,filter,n,n,Eppendorf_Tube
71,RUS-1S,RUS,NT,8/2/2022,filter,n,n,Eppendorf_Tube
72,RUS-1S,RUS,TM,8/2/2022,mat,n,y,Eppendorf_Tube
73,RUS-2,RUS,TAC,8/2/2022,mat,n,n,Eppendorf_Tube
74,RUS-3,RUS,TAC,8/2/2022,mat,y,n,Eppendorf_Tube
75,RUS-3,RUS,TAC,8/2/2022,mat,y,n,Eppendorf_Tube
76,RUS-3,RUS,NT,8/2/2022,filter,n,n,Eppendorf_Tube
77,RUS-2,RUS,TM,8/2/2022,mat,n,y,Eppendorf_Tube
78,RUS-1S,RUS,TAC,8/2/2022,mat,n,n,Eppendorf_Tube
79,RUS-3,RUS,TM,8/2/2022,mat,n,y,Eppendorf_Tube
80,SFE-M-1S,SFE-M,TAC,8/10/2022,mat,n,n,Eppendorf_Tube
81,SFE-M-1S,SFE-M,TM,8/10/2022,mat,y,n,Eppendorf_Tube
82,SFE-M-3,SFE-M,TAC,8/10/2022,mat,n,n,Eppendorf_Tube
83,SFE-M-3,SFE-M,blank,8/10/2022,filter,n,n,Eppendorf_Tube
84,SFE-M-1S,SFE-M,TM,8/10/2022,mat,y,n,Eppendorf_Tube
85,SFE-M-4,SFE-M,NT,8/10/2022,filter,n,n,Eppendorf_Tube
86,SFE-M-3,SFE-M,TM,8/10/2022,mat,n,n,Eppendorf_Tube
87,SFE-M-1S,SFE-M,NT,8/10/2022,filter,n,n,Eppendorf_Tube
88,SFE-M-1S,SFE-M,TM,8/10/2022,mat,y,n,Eppendorf_Tube
89,SFE-M-3,SFE-M,NT,8/10/2022,filter,y,n,Eppendorf_Tube
90,SFE-M-4,SFE-M,TAC,8/10/2022,mat,n,n,Eppendorf_Tube
91,SFE-M-3,SFE-M,NT,8/10/2022,filter,y,n,Eppendorf_Tube
92,RUS-1S,RUS,TAC,9/1/2022,mat,n,n,Eppendorf_Tube
93,SFE-M-3,SFE-M,NT,8/10/2022,filter,y,n,Eppendorf_Tube
94,RUS-1S,RUS,TAC,8/17/2022,mat,n,n,Eppendorf_Tube
95,SFE-M-4,SFE-M,TM,8/10/2022,mat,n,n,Eppendorf_Tube
96,RUS-3,RUS,NT,8/17/2022,filter,y,n,Eppendorf_Tube
97,SFE-M-1S,SFE-M,NT,8/23/2022,filter,n,n,Eppendorf_Tube
98,SFE-M-3,SFE-M,TM,8/23/2022,mat,y,n,Eppendorf_Tube
99,RUS-1S,RUS,TM,8/17/2022,mat,n,y,Eppendorf_Tube
100,RUS-3,RUS,NT,8/17/2022,filter,y,n,Eppendorf_Tube
101,SFE-M-3,SFE-M,NT,8/23/2022,filter,n,n,Eppendorf_Tube
102,RUS-1S,RUS,blank,8/17/2022,filter,n,n,Eppendorf_Tube
103,RUS-2,RUS,NT,8/17/2022,filter,n,n,Eppendorf_Tube
104,RUS-1S,RUS,NT,8/17/2022,filter,n,n,Eppendorf_Tube
105,SFE-M-1S,SFE-M,TM,8/23/2022,mat,n,n,Eppendorf_Tube
106,RUS-2,RUS,TM,8/17/2022,mat,n,y,Eppendorf_Tube
107,RUS-2,RUS,TAC,8/17/2022,mat,n,n,Eppendorf_Tube
108,RUS-3,RUS,TM,8/17/2022,mat,n,y,Eppendorf_Tube
109,RUS-3,RUS,TAC,8/17/2022,mat,n,n,Eppendorf_Tube
110,RUS-3,RUS,NT,8/17/2022,filter,y,n,Eppendorf_Tube
111,SFE-M-1S,SFE-M,TM,9/8/2022,mat,n,n,Eppendorf_Tube
112,RUS-2,RUS,TM,9/1/2022,mat,n,y,Eppendorf_Tube
113,SFE-M-3,SFE-M,NT,9/6/2022,filter,y,n,Eppendorf_Tube
114,SFE-M-4,SFE-M,NT,8/23/2022,filter,n,n,Eppendorf_Tube
115,RUS-2,RUS,TAC,9/1/2022,mat,n,n,Eppendorf_Tube
119,SFE-M-3,SFE-M,NT,9/6/2022,filter,y,n,Eppendorf_Tube
120,SFE-M-1S,SFE-M,TM,9/6/2022,mat,y,n,Eppendorf_Tube
121,SFE-M-3,SFE-M,TM,8/23/2022,mat,y,n,Eppendorf_Tube
122,SFE-M-4,SFE-M,TAC,9/6/2022,mat,n,y,Eppendorf_Tube
123,SFE-M-3,SFE-M,NT,9/6/2022,filter,y,n,Eppendorf_Tube
124,RUS-3,RUS,TAC,9/1/2022,mat,n,n,Eppendorf_Tube
125,SFE-M-1S,SFE-M,TM,9/6/2022,mat,y,n,Eppendorf_Tube
126,SFE-M-1S,SFE-M,TM,9/6/2022,mat,y,n,Eppendorf_Tube
127,RUS-3,RUS,NT,9/1/2022,filter,n,n,Eppendorf_Tube
130,SFE-M-3,SFE-M,TM,8/23/2022,mat,y,n,Eppendorf_Tube
132,SFE-M-4,SFE-M,TM,8/23/2022,mat,n,n,Eppendorf_Tube
135,SFE-M-4,SFE-M,TM,9/6/2022,mat,n,y,Eppendorf_Tube
137,SFE-M-1S,SFE-M,blank,9/6/2022,filter,n,n,Eppendorf_Tube
138,SFE-M-1S,SFE-M,TAC,9/6/2022,mat,n,n,Eppendorf_Tube
139,RUS-3,RUS,TM,9/1/2022,mat,n,y,Eppendorf_Tube
142,RUS-1S,RUS,TM,9/1/2022,mat,n,y,Eppendorf_Tube
147,SFE-M-3,SFE-M,TAC,8/23/2022,mat,n,n,Eppendorf_Tube
148,RUS-2,RUS,NT,9/1/2022,filter,n,n,Eppendorf_Tube
152,SFE-M-1S,SFE-M,NT,9/6/2022,filter,n,n,Eppendorf_Tube
153,SFE-M-3,SFE-M,TM,9/6/2022,mat,n,n,Eppendorf_Tube
155,RUS-1S,RUS,NT,9/1/2022,filter,n,n,Eppendorf_Tube
157,SFE-M-3,SFE-M,TAC,9/6/2022,mat,n,y,Eppendorf_Tube
159,SFE-M-4,SFE-M,NT,9/6/2022,filter,n,n,Eppendorf_Tube
200,RUS-2,RUS,TAC,9/15/2022,mat,n,n,Powerbead_Tube
201,RUS-2,RUS,NT,9/15/2022,filter,n,n,Powerbead_Tube
202,SFE-M-3,SFE-M,NT,9/17/2022,filter,n,n,Powerbead_Tube
203,RUS-1S,RUS,TAC,9/15/2022,mat,y,n,Powerbead_Tube
204,SAL-3,SAL,TAC,9/22/2022,mat,y,n,Powerbead_Tube
205,RUS-1S,RUS,TAC,9/15/2022,mat,y,n,Powerbead_Tube
206,RUS-2,RUS,TM,9/15/2022,mat,n,y,Powerbead_Tube
207,RUS-2,RUS,blank,9/15/2022,filter,n,n,Powerbead_Tube
208,RUS-1S,RUS,NT,9/15/2022,filter,n,n,Powerbead_Tube
209,RUS-1S,RUS,TAC,9/15/2022,mat,y,n,Powerbead_Tube
210,SAL-3,SAL,TAC,9/22/2022,mat,y,n,Powerbead_Tube
211,SFE-M-3,SFE-M,TM,9/17/2022,mat,n,n,Powerbead_Tube
212,RUS-3,RUS,TAC,9/15/2022,mat,n,n,Powerbead_Tube
213,RUS-3,RUS,TM,9/15/2022,mat,n,y,Powerbead_Tube
214,RUS-3,RUS,NT,9/15/2022,filter,n,n,Powerbead_Tube
215,RUS-1S,RUS,TM,9/15/2022,mat,n,y,Powerbead_Tube
216,SAL-1S,SAL,NT,9/22/2022,filter,n,n,Powerbead_Tube
217,SFE-M-1S,SFE-M,TM,9/17/2022,mat,n,n,Powerbead_Tube
218,SFE-M-1S,SFE-M,NT,9/17/2022,filter,n,n,Powerbead_Tube
219,SAL-2,SAL,TM,9/22/2022,mat,n,y,Powerbead_Tube
220,SFE-M-4,SFE-M,NT,9/17/2022,filter,n,n,Powerbead_Tube
221,SAL-3,SAL,TAC,9/22/2022,mat,y,n,Powerbead_Tube
222,SFE-M-1S,SFE-M,TAC,9/17/2022,mat,n,n,Powerbead_Tube
223,SFE-M-4,SFE-M,TM,9/17/2022,mat,n,y,Powerbead_Tube
224,SAL-2,SAL,NT,9/22/2022,filter,n,n,Powerbead_Tube
225,SAL-3,SAL,NT,9/22/2022,filter,y,n,Powerbead_Tube
226,SAL-1S,SAL,TM,9/22/2022,mat,n,y,Powerbead_Tube
227,SAL-3,SAL,TM,9/22/2022,mat,n,y,Powerbead_Tube
228,SAL-3,SAL,NT,9/22/2022,filter,y,n,Powerbead_Tube
229,SAL-3,SAL,NT,9/22/2022,filter,y,n,Powerbead_Tube
230,SAL-2,SAL,TAC,9/22/2022,mat,n,n,Powerbead_Tube
