"site_reach","field_date","triplicate","triplicate_no","area_scraped_cm_2","volume_scraped_mL","macroalgal_displacement_mL","dry_sample_filter_tin_g","ash_filter_tin_g","afdm_filter_g","afdm_sample_filtered_mL","Chla_ug_L","Pheo_ug_L","Chla_Pheo_flag","neg_Pheo_flag","chla_sample_filtered_mL"
"RUS-1S",2022-08-17,"n",0,215.75,527,1.2,1.4997,1.47796,0.0217400000000001,20,1568.23306365925,15.1153571363433,"n","n",19
"RUS-2",2022-08-17,"n",0,224,317,2.5,1.51748,1.48316,0.0343199999999999,16,2004.55956555537,130.532801173153,"n","n",16
"RUS-3",2022-08-17,"y",1,252.77,546,1.9,1.50051,1.47369,0.0268200000000001,22,2190.62529893544,105.943277567181,"n","n",16
"RUS-3",2022-08-17,"y",2,NA,NA,NA,1.48824,1.46885,0.01939,16,2439.88956560843,140.031229135071,"n","n",14
"RUS-3",2022-08-17,"y",3,NA,NA,NA,1.47663,1.45467,0.0219600000000002,17,1866.57160397071,111.814599050417,"n","n",19
"blank",2022-08-18,"n",0,NA,NA,NA,1.41109,1.40909,0.002,NA,2.02385015509305,2.14406620962067,"y","n",15
"SFE-M-1S",2022-08-23,"n",0,262.25,366,1,1.45851,1.43437,0.0241400000000001,17,1889.75575438217,-50.7087869775067,"n","y",19
"SFE-M-3",2022-08-23,"n",0,252.77,372,0.9,1.42292,1.40584,0.01708,17,1188.44502431996,225.697057846453,"n","n",16
"SFE-M-4",2022-08-23,"n",0,265.52,400,2.8,1.45431,1.43943,0.01488,17,1458.07601716292,130.671720555701,"n","n",15
"blank",2022-08-24,"n",0,NA,NA,NA,1.41339,1.41158,0.00180999999999987,NA,2.54913942674669,4.19035816907172,"y","n",15
"RUS-1S",2022-09-01,"n",0,203,413,2.1,1.466,1.45051,0.01549,15,1627.21641016801,269.737752889985,"n","n",15
"RUS-2",2022-09-01,"n",0,170,211,0.9,1.46001,1.44415,0.01586,15,1480.52866903067,164.381735393418,"n","n",16
"RUS-3",2022-09-01,"n",0,284.81,522,2,1.52054,1.49609,0.0244500000000001,15,1463.14336024807,578.131977036464,"n","n",17
"blank",2022-09-02,"n",0,NA,NA,NA,1.41627,1.4145,0.00176999999999983,NA,10.924872074176,19.073416605077,"n","n",15
"SFE-M-1S",2022-09-06,"n",0,249.5,366,2.3,1.46169,1.44071,0.02098,13,1508.73747181083,136.402593929223,"n","n",16
"SFE-M-4",2022-09-06,"n",0,203,165,2,1.44886,1.43142,0.0174400000000001,12,1285.23582849723,225.109591890809,"n","n",12
"SFE-M-3",2022-09-06,"y",1,231.77,367,0.5,1.4254,1.40964,0.01576,16,1399.95154518344,283.020637535652,"n","n",13
"SFE-M-3",2022-09-06,"y",2,NA,NA,NA,1.45391,1.44153,0.0123800000000001,13,861.850634339986,313.353262908014,"n","n",14
"SFE-M-3",2022-09-06,"y",3,NA,NA,NA,1.45086,1.43783,0.0130300000000001,15,748.872362938596,349.11281317021,"n","n",15
"blank",2022-09-07,"n",0,NA,NA,NA,1.40983,1.40785,0.00197999999999987,NA,2.02888790724248,4.29352120232891,"y","n",15
"RUS-1S",2022-09-15,"n",0,254,607,0.8,1.50092,1.47359,0.0273300000000001,25,1292.7141967273,120.438207198283,"n","n",19
"RUS-2",2022-09-15,"n",0,231.77,433,0.9,1.50553,1.47927,0.02626,18,1605.07260052111,361.350789451616,"n","n",16
"RUS-3",2022-09-15,"n",0,219.02,403,2,1.49453,1.47208,0.0224499999999999,20,1238.99814275853,222.212008291406,"n","n",23
"blank",2022-09-16,"n",0,NA,NA,NA,1.42771,1.42535,0.00236000000000014,NA,10.0021759942523,35.9716872471471,"n","n",15
"SFE-M-1S",2022-09-17,"n",0,275,498,2.9,1.47633,1.44224,0.03409,15,2009.71897570565,69.9216059316909,"n","n",15
"SFE-M-3",2022-09-17,"n",0,275,380,1.6,1.44518,1.42639,0.0187899999999999,22,1622.98211771517,-97.3897389916519,"n","y",15
"SFE-M-4",2022-09-17,"n",0,257.27,371,0.7,1.47242,1.4483,0.0241200000000001,22,1470.04278851758,72.9867591594041,"n","n",18
"blank",2022-09-18,"n",0,NA,NA,NA,1.42831,1.42615,0.00215999999999994,NA,0.300460011193428,0.917573551707471,"y","n",15
"SAL-1S",2022-09-22,"n",0,275,480,1.1,1.45627,1.43949,0.01678,18,1675.46590990306,96.7108459414921,"n","n",17
"SAL-2",2022-09-22,"n",0,265.52,445,1.8,1.43866,1.41679,0.0218700000000001,19,1072.84847392858,268.806298254472,"n","n",18
"SAL-3",2022-09-22,"y",1,275,395,2,1.43979,1.42757,0.0122199999999999,15,1630.00765660325,92.4127413707298,"n","n",19
"SAL-3",2022-09-22,"y",2,NA,NA,NA,1.43833,1.42849,0.00984000000000007,12,1603.64223184234,127.527525323581,"n","n",18
"SAL-3",2022-09-22,"y",3,NA,NA,NA,1.44471,1.43172,0.0129899999999998,15,1510.82291632186,98.5515608346624,"n","n",20
"blank",2022-09-23,"n",0,NA,NA,NA,1.41983,1.41776,0.00207000000000002,NA,2.45178279425755,11.4744114913843,"y","n",15
"SAL-2",2023-06-28,"n",0,278.27,356,0.3,1.49201,1.48332,0.00869000000000009,14,927.874535842269,5.70335610844133,"n","n",16
"SAL-3",2023-06-28,"n",0,237.25,499,0.2,1.49031,1.48327,0.00703999999999994,14,570.525094638779,113.674951695509,"n","n",16
"SAL-1S",2023-06-28,"y",1,275,326,0.2,1.46849,1.46174,0.00675000000000003,12,762.841166111766,58.3504086600031,"n","n",12
"SAL-1S",2023-06-28,"y",2,NA,NA,NA,1.45735,1.4514,0.0059499999999999,12,640.904133657418,33.0344644757005,"n","n",11
"SAL-1S",2023-06-28,"y",3,NA,NA,NA,1.45929,1.45298,0.00631000000000004,12,648.328899556324,98.8161963796672,"n","n",11
"blank",2023-06-29,"n",0,NA,NA,NA,1.42686,1.42515,0.0017100000000001,NA,-3.14542692750437,11.3932306021381,"y","n",15
"SAL-1S",2023-07-13,"n",0,236.75,337,0.4,1.43272,1.42815,0.00456999999999996,16,242.369037263718,78.9594838247004,"n","n",15
"SAL-2",2023-07-13,"n",0,265.52,317,0.6,1.44656,1.43921,0.00734999999999997,17,590.526915120491,94.6638268103335,"n","n",17
"SAL-3",2023-07-13,"n",0,229,317,0.6,1.6271,1.60195,0.02515,15,501.156098157003,237.706034379726,"n","n",15
"blank",2023-07-14,"n",0,NA,NA,NA,1.41555,1.41364,0.00191000000000008,NA,-1.90649447545131,7.45201934680198,"y","n",15
"SAL-1S",2023-07-27,"n",0,275,288,0.6,1.47034,1.46111,0.00923000000000007,19,345.164428514519,68.8744527651123,"n","n",19
"SAL-2",2023-07-27,"n",0,252.77,207,0.4,1.44808,1.44201,0.00607000000000002,14,397.7475007166,108.734620652483,"n","n",16
"SAL-3",2023-07-27,"y",1,237.25,393,0.3,1.43421,1.42958,0.00462999999999991,18,229.507667132156,76.1079783920509,"n","n",17
"SAL-3",2023-07-27,"y",2,NA,NA,NA,1.42709,1.42246,0.00462999999999991,17,233.784963308059,78.2771467985702,"n","n",17
"SAL-3",2023-07-27,"y",3,NA,NA,NA,1.44247,1.43794,0.00452999999999992,16,378.623208174093,122.640817382698,"n","n",14
"blank",2023-07-28,"n",0,NA,NA,NA,1.42262,1.42121,0.00140999999999991,NA,0.634457452829502,0.0197470674472865,"y","n",15
"SAL-1S",2023-08-10,"n",0,224,297,0.4,1.43325,1.42844,0.00480999999999998,15,324.866960992124,89.35969195786,"n","n",16
"SAL-2",2023-08-10,"n",0,236.75,255,0.1,1.43264,1.42943,0.00320999999999994,16,147.641222652367,41.8606675944275,"n","n",15
"SAL-3",2023-08-10,"n",0,237.25,160,0.4,1.43572,1.43153,0.00419000000000014,16,117.297093222579,51.517926777274,"n","n",17
"blank",2023-08-11,"n",0,NA,NA,NA,1.42431,1.42274,0.00157000000000007,NA,0.551141136888436,0.0656079264019995,"y","n",15
