"field_date","site_reach","sample_type","slide_rep","date_analyzed","method","microcoleus","non_algal","non_e_diatoms","e_diatoms","other_coccoids","green_algae","anabaena_and_cylindrospermum","oscillatoria","scytonema","geitlerinema","gloeotrichia","rivularia","nostoc","unknown","lyngbya","phormidium_unknown","calothrix","leptolyngbya","chroococcus","tolypothrix","nodularia","homoeothrix"
"9/6/2022","SFE-M-3","TM","Final","10/31/2023","preserved",78,6,2,3,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9/17/2022","SFE-M-3","TM","Final","11/1/2023","preserved",69,12,5,5,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"6/29/2022","SFE-M-4","TM","Final","10/25/2023","preserved",54,2,11,5,3,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"8/10/2022","SFE-M-4","TM","Final","10/25/2023","preserved",33.8,6,4,25,3,7,10,0.1,0,5,0,0,1,0,0.1,0,0,5,0,0,0,0
"8/23/2022","SFE-M-4","TM","Final","10/31/2023","preserved",58.9,6,4,8,5,12,1,3,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0
"7/13/2023","SAL-1S","TM","1","3/14/2024","preserved",15,81.7,3,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-1S","TM","2","3/14/2024","preserved",20,71.8,7,0,0.1,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-1S","TM","3","3/14/2024","preserved",30,57.8,10,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/27/2023","SAL-1S","TM","1","3/15/2024","preserved",40,51.9,6,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/27/2023","SAL-1S","TM","2","3/15/2024","preserved",41,51.9,5,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/27/2023","SAL-1S","TM","3","3/15/2024","preserved",38,47.9,10,0,0.1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"8/10/2023","SAL-1S","TM","Final","8/15/2023","live",79.9,15,4,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-2","TM","1","3/14/2024","preserved",15,77.9,5,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-2","TM","2","3/14/2024","preserved",25,62.7,12,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-2","TM","3","3/14/2024","preserved",35,52.8,10,0,0.1,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7/27/2023","SAL-2","TM","1","3/15/2024","preserved",50.8,40,7,0,0.1,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7/27/2023","SAL-2","TM","2","3/15/2024","preserved",43.9,45,8,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7/27/2023","SAL-2","TM","3","3/15/2024","preserved",38.7,46,10,0,0.1,0.1,0.1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
"8/10/2023","SAL-2","TM","Final","8/16/2023","live",83,10,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/28/2023","SAL-3","TM","1","3/8/2024","preserved",35,60.9,4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/28/2023","SAL-3","TM","2","3/8/2024","preserved",40,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/28/2023","SAL-3","TM","3","3/8/2024","preserved",20,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/13/2023","SAL-3","TM","1","3/14/2024","preserved",10,73.8,15,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/13/2023","SAL-3","TM","2","3/14/2024","preserved",17,66.9,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/13/2023","SAL-3","TM","3","3/14/2024","preserved",15,72.7,12,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/27/2023","SAL-3","TM","1","3/15/2024","preserved",58.7,35,6,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/27/2023","SAL-3","TM","2","3/15/2024","preserved",46,45,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7/27/2023","SAL-3","TM","3","3/15/2024","preserved",47.8,46,6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"8/10/2023","SAL-3","TM","Final","8/16/2023","live",74,5,3,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-1S","TM","1","3/7/2024","preserved",54,12,25,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-1S","TM","2","3/7/2024","preserved",71.9,7,10,3,3,2,0,0,0,3,0,0,0,0,0,0,0.1,0,0,0,0,0
"7/10/2023","SFE-M-1S","TM","3","3/7/2024","preserved",91,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/17/2023","SFE-M-1S","TM","1","3/11/2024","preserved",51.9,18,9,5,3,10,0.1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"7/17/2023","SFE-M-1S","TM","2","3/11/2024","preserved",69,15,8,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/17/2023","SFE-M-1S","TM","3","3/11/2024","preserved",61,16,7,2,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-1S","TM","1","3/12/2024","preserved",68.9,7,5,1,1,12,0,0,0,3,0,0,2,0,0,0,0.1,0,0,0,0,0
"7/24/2023","SFE-M-1S","TM","2","3/12/2024","preserved",81.9,8,3,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.1,0
"7/24/2023","SFE-M-1S","TM","3","3/12/2024","preserved",75.8,15,3,1,1,3,0,0,0,1,0,0,0.1,0,0,0,0.1,0,0,0,0,0
"7/31/2023","SFE-M-1S","TM","1","3/15/2024","preserved",42,17,6,7,3,10,5,0,0,3,0,0,0,0,0,0,3,2,2,0,0,0
"7/31/2023","SFE-M-1S","TM","2","3/15/2024","preserved",42,19,5,5,2,11,6,0,0,3,0,0,0,0,0,0,4,1,2,0,0,0
"7/31/2023","SFE-M-1S","TM","3","3/15/2024","preserved",51,13,5,8,3,9,4,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0
"8/7/2023","SFE-M-1S","TM","1","3/12/2024","preserved",47.9,15,7,5,2,6,1,0,0,2,0,10,0,0,0,0,0.1,2,2,0,0,0
"8/7/2023","SFE-M-1S","TM","2","3/12/2024","preserved",89,5,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8/7/2023","SFE-M-1S","TM","3","3/12/2024","preserved",73.9,13,2,1,3,5,1,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0
"8/14/2023","SFE-M-1S","TM","Final","8/23/2023","live",75.9,3,3,2,5,10,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/22/2023","SFE-M-1S","TM","Final","8/30/2023","live",74,5,1,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/28/2023","SFE-M-1S","TM","Final","9/5/2023","live",87,3,2,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9/4/2023","SFE-M-1S","TM","Final","9/11/2023","live",77.9,8,5,1,2,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-1S","TM","Final","9/19/2023","live",59.9,5,3,2,2,18,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"9/18/2023","SFE-M-1S","TM","Final","9/21/2023","live",64.8,5,4,6,5,15,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2023","SFE-M-1S","TM","Final","9/28/2023","live",63.9,15,3,7,2,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-2","TM","1","3/11/2024","preserved",61,12,8,2,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-2","TM","2","3/11/2024","preserved",70,15,9,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-2","TM","3","3/11/2024","preserved",68.9,20,7,1,1,1,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-2","TM","1","3/12/2024","preserved",57,30,5,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-2","TM","2","3/12/2024","preserved",48.9,40,4,3,1,1,0.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-2","TM","3","3/12/2024","preserved",41.9,45,4,4,1,3,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/31/2023","SFE-M-2","TM","1","3/18/2024","preserved",64,10,6,7,1,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"7/31/2023","SFE-M-2","TM","2","3/18/2024","preserved",55,15,7,7,2,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"7/31/2023","SFE-M-2","TM","3","3/18/2024","preserved",54,16,7,8,3,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"8/7/2023","SFE-M-2","TM","1","3/13/2024","preserved",31,25,9,16,3,4,5,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
"8/7/2023","SFE-M-2","TM","2","3/13/2024","preserved",32.8,20,10,16,3,5,7,0,0,6,0,0,0,0,0,0,0.1,0,0.1,0,0,0
"8/7/2023","SFE-M-2","TM","3","3/13/2024","preserved",35,19,9,14,4,7,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"8/14/2023","SFE-M-2","TM","Final","8/25/2023","live",66.9,5,15,2,1,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/22/2023","SFE-M-2","TM","Final","8/31/2023","live",80,5,3,2,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8/28/2023","SFE-M-2","TM","Final","9/5/2023","live",92,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/4/2023","SFE-M-2","TM","Final","9/11/2023","live",90,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-2","TM","Final","9/19/2023","live",83.8,5,2,1,1,7,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"9/18/2023","SFE-M-2","TM","Final","9/21/2023","live",77,15,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2023","SFE-M-2","TM","Final","9/28/2023","live",78.7,7,8,0.1,1,5,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"7/3/2023","SFE-M-3","TM","1","3/7/2024","preserved",74.9,15,3,1,1,5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"7/3/2023","SFE-M-3","TM","2","3/7/2024","preserved",80.8,7,3,1,2,6,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/3/2023","SFE-M-3","TM","3","3/7/2024","preserved",83.9,7,3,1,2,3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-3","TM","1","3/8/2024","preserved",76.9,15,5,0,1,2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-3","TM","2","3/8/2024","preserved",74,12,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-M-3","TM","3","3/8/2024","preserved",63.9,20,9,0,3,4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"7/17/2023","SFE-M-3","TM","1","3/14/2024","preserved",67,15,5,4,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
"7/17/2023","SFE-M-3","TM","2","3/14/2024","preserved",68,20,4,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"7/17/2023","SFE-M-3","TM","3","3/14/2024","preserved",66,17,4,3,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
"7/24/2023","SFE-M-3","TM","1","11/17/2023","preserved",43,25,4,5,2,15,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-3","TM","2","11/17/2023","preserved",48,20,6,7,5,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"7/24/2023","SFE-M-3","TM","3","11/17/2023","preserved",60,10,3,4,3,14,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
"7/31/2023","SFE-M-3","TM","1","3/18/2024","preserved",64.9,10,5,5,2,7,3,0,0,2,0,0,0,0,0,0,0,1,0.1,0,0,0
"7/31/2023","SFE-M-3","TM","2","3/18/2024","preserved",59.9,9,6,10,3,6,5,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0
"7/31/2023","SFE-M-3","TM","3","3/18/2024","preserved",61.9,6,6,11,3,5,6,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0
"8/7/2023","SFE-M-3","TM","1","3/13/2024","preserved",46.9,13,10,15,3,4,0,0,0,5,0,0,0,0,0,0,3,0,0.1,0,0,0
"8/7/2023","SFE-M-3","TM","2","3/13/2024","preserved",63.9,11,9,8,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0,0
"8/7/2023","SFE-M-3","TM","3","3/13/2024","preserved",51.7,15,8,8,3,8,3,0,0,3,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1
"8/14/2023","SFE-M-3","TM","Final","8/25/2023","live",73.9,5,2,10,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/22/2023","SFE-M-3","TM","Final","8/31/2023","live",60,8,10,10,5,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8/28/2023","SFE-M-3","TM","Final","9/6/2023","live",78,8,3,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/4/2023","SFE-M-3","TM","Final","9/14/2023","live",73.9,9,4,6,2,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-3","TM","Final","9/19/2023","live",76.9,6,2,0.1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/18/2023","SFE-M-3","TM","Final","9/26/2023","live",74.8,10,2,0.1,5,8,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"9/24/2023","SFE-M-3","TM","Final","9/28/2023","live",69.6,10,6,2,4,8,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
"8/7/2023","SFE-M-4","TM","1","3/13/2024","preserved",45,44,2,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8/7/2023","SFE-M-4","TM","2","3/13/2024","preserved",43.9,35,5,5,2,3,4,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0
"8/7/2023","SFE-M-4","TM","3","3/13/2024","preserved",45,30,6,6,2,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"8/22/2023","SFE-M-4","TM","Final","8/31/2023","live",52,10,5,8,3,12,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9/4/2023","SFE-M-4","TM","Final","9/14/2023","live",79.9,10,2,0.1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-4","TM","1","11/17/2023","preserved",68,15,4,3,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-4","TM","2","11/17/2023","preserved",72,12,2,2,1,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-M-4","TM","3","11/17/2023","preserved",68,10,6,5,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9/18/2023","SFE-M-4","TM","Final","9/26/2023","live",69,12,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2023","SFE-M-4","TM","Final","9/28/2023","live",66.8,12,15,0.1,1,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-SH-1S","TM","1","3/7/2024","preserved",71,7,6,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
"7/10/2023","SFE-SH-1S","TM","2","3/7/2024","preserved",76.9,6,8,4,1,3,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0
"7/10/2023","SFE-SH-1S","TM","3","3/7/2024","preserved",70.9,10,8,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0
"7/17/2023","SFE-SH-1S","TM","1","3/11/2024","preserved",57.8,15,10,4,2,6,0,0,0,2,0,0,0.1,0,0,0,3,0,0,0.1,0,0
"7/17/2023","SFE-SH-1S","TM","2","3/11/2024","preserved",64.8,10,11,3,2,7,0,0,0,2,0,0,0.1,0,0,0,0.1,0,0,0,0,0
"7/17/2023","SFE-SH-1S","TM","3","3/11/2024","preserved",63.9,11,12,3,1,7,0,0,0,2,0,0,0,0,0,0,0.1,0,0,0,0,0
"7/24/2023","SFE-SH-1S","TM","1","3/12/2024","preserved",59,10,7,6,5,7,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"7/24/2023","SFE-SH-1S","TM","2","3/12/2024","preserved",53,15,8,7,4,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/24/2023","SFE-SH-1S","TM","3","3/12/2024","preserved",43,25,7,5,3,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/31/2023","SFE-SH-1S","TM","1","3/15/2024","preserved",38,17,8,8,3,10,5,0,0,2,0,0,2,0,3,0,3,0,1,0,0,0
"7/31/2023","SFE-SH-1S","TM","2","3/15/2024","preserved",21,11,14,10,3,17,7,0,0,3,0,0,3,0,4,0,4,2,1,0,0,0
"7/31/2023","SFE-SH-1S","TM","3","3/15/2024","preserved",20,12,13,11,4,15,9,0,0,3,0,0,3,0,3,0,5,1,1,0,0,0
"8/14/2023","SFE-SH-1S","TM","Final","8/23/2023","live",52,5,10,10,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/22/2023","SFE-SH-1S","TM","Final","8/30/2023","live",81.9,5,2,1,8,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/28/2023","SFE-SH-1S","TM","Final","9/5/2023","live",73,4,4,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/4/2023","SFE-SH-1S","TM","Final","9/11/2023","live",71,10,5,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/12/2023","SFE-SH-1S","TM","Final","9/14/2023","live",79,5,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/18/2023","SFE-SH-1S","TM","Final","9/21/2023","live",58,10,3,2,6,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2023","SFE-SH-1S","TM","Final","9/26/2023","live",70.9,4,8,2,3,12,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
