"field_date","site_reach","macroalgal_displacement_mL","area_scraped_cm_2","volume_scraped_sample_mL","vol_mL_to_area_cm_2","afdm_mg_cm_2","Chla_ug_cm_2","Pheo_ug_cm_2","flag_Pheo","MCY_ug_g","MCY_det_limit","ATXa_ug_g","dhATXa_ug_g","ATX_det_limit"
2022-09-06,"SFE-M-1S",2.3,249.5,366,1.46693386773547,2.14392384769539,2.2132180949209,0.200093584681746,0,0,0.09,0.531,0.083,0.068
2022-09-17,"SFE-M-1S",2.9,275,498,1.81090909090909,3.85488218181818,3.63941836327787,0.126621671832662,0,0,0.06,1.677,0.369,0.0496
2022-06-29,"SFE-M-3",1,215.75,203,0.94090382387022,0.272862108922364,0.959397112216684,0.0220887754438008,0,0,0.78,0,0,0.6149
2022-07-14,"SFE-M-3",0.9,227.27,258,1.13521362256347,1.04893738724865,2.23366755382911,0.368420818604306,0,0,0.13,0,0,0.1025
2022-07-28,"SFE-M-3",1.2,244.52,271,1.10829380009815,1.19895223294618,1.88749776328723,-0.18972247109246,1,0,0.12,2.129,0.238,0.0965
2022-08-10,"SFE-M-3",0.9,219.02,329,1.50214592274678,1.50575107296137,3.19152111888992,-0.191928934468507,1,0,0.16,0.255,0,0.1283
2022-08-23,"SFE-M-3",0.9,252.77,372,1.47169363452941,1.32187522253432,1.74902697727984,0.332156923364642,0,0,0.11,0,0,0.0832
2022-09-06,"SFE-M-3",0.5,231.77,367,1.58346636751952,1.26566466755836,1.58910062717862,0.499048803981379,0,0,0.14,0,0,0.1063
2022-09-17,"SFE-M-3",1.6,275,380,1.38181818181818,1.04451636363636,2.2426661990246,-0.134574912061192,1,0,0.09,0.356,0.074,0.0716
2022-06-29,"SFE-M-4",1.5,194.75,245,1.25802310654686,0.523463414634146,1.1797027971399,0.215111805829185,0,0,1.09,0,0,0.8571
2022-07-14,"SFE-M-4",1.2,198.5,258,1.29974811083123,1.21344483627204,1.88327662973245,0.20276079110438,0,0,0.12,0,0,0.0907
2022-07-28,"SFE-M-4",2.1,244.52,268,1.09602486504171,2.01591853427123,1.96639165094211,-0.557618587736664,1,0,0.07,2.037,0.52,0.058
2022-08-10,"SFE-M-4",2,236.75,396,1.67265047518479,1.65107328405491,3.07349838021459,-0.00524430169596613,1,0,0.15,4.524,0.849,0.1171
2022-08-23,"SFE-M-4",2.8,265.52,400,1.50647785477553,1.15818017475143,2.19655923043525,0.196854053262581,0,0,0.09,1.204,0,0.0733
2022-09-06,"SFE-M-4",2,203,165,0.812807881773399,1.04714039408867,1.04464981134011,0.182970850551643,0,0,0.1,0.24,0,0.0745
2022-09-17,"SFE-M-4",0.7,257.27,371,1.44206475687021,1.43946904030785,2.11989689641242,0.105251633101951,0,0,0.26,0,0,0.2006
2022-06-24,"RUS-1S",0.5,173.27,362,2.0892249091014,1.13904542044208,2.11059165591519,0.597137689256148,0,0,0.1,0,0,0.075
2022-07-06,"RUS-1S",0.5,180.77,224,1.23914366321845,0.460094042153012,1.14591098058703,0.350268349685356,0,0,0.1,0,0,0.081
2022-07-20,"RUS-1S",0.5,138.77,376,2.70951934856237,1.1664480795561,3.65499101964157,0.323192636781755,0,0,0.14,0,0,0.1131
2022-08-02,"RUS-1S",1.5,148.25,347,2.34064080944351,1.7257544688027,4.34657300125861,0.156687537858992,0,0,0.09,0,0,0.0742
2022-08-17,"RUS-1S",1.2,215.75,527,2.44264194669757,2.4108876013905,3.83063186349212,0.0369214053805466,0,0,0.16,0,0,0.1215
2022-09-01,"RUS-1S",2.1,203,413,2.03448275862069,1.86094137931034,3.28831726715641,0.509972270372744,0,0,0.1,0,0.075,0.0742
2022-09-15,"RUS-1S",0.8,254,607,2.38976377952756,2.38689606299213,3.06537872671242,0.201855029961966,0,0,0.12,0,0,0.0962
2022-07-06,"RUS-2",1.9,244.52,618,2.52740062162604,2.63254048748569,5.95749603542905,0.44717514416762,0,0,0.09,0,0,0.0733
2022-07-20,"RUS-2",1.6,211.25,396,1.87455621301775,2.66524402366864,3.64936922742546,0.0784502948506586,0,0,0.08,0,0,0.0615
2022-08-02,"RUS-2",1.5,207.5,350,1.68674698795181,0.958072289156627,2.5388195937104,0.347898643023473,0,0,0.08,0,0,0.0623
2022-08-17,"RUS-2",2.5,224,317,1.41517857142857,2.85866071428571,2.83680974232613,0.184727223088792,0,0,0.11,0,0,0.0879
2022-09-01,"RUS-2",0.9,170,211,1.24117647058824,1.16583705882353,1.82403765386954,0.180353266260823,0,0,0.08,0,0,0.0645
2022-09-15,"RUS-2",0.9,231.77,433,1.86823143633775,2.48063770116926,2.97996071027368,0.607883467465742,0,0,0.08,0,0,0.0659
2022-07-07,"RUS-3",2.5,233,384,1.6480686695279,2.33613733905579,2.01610235269156,0.475150568371123,0,0,0.12,0,0,0.0978
2022-07-20,"RUS-3",1.6,257.27,347,1.34877754887861,1.41918373693007,NA,NA,NA,0,0.08,0,0,0.0622
2022-08-02,"RUS-3",1.2,231.77,352,1.5187470336972,1.27893687707641,3.16325073922957,0.156895310286841,0,0,0.17,0,0,0.1334
2022-08-17,"RUS-3",1.9,252.77,546,2.16006646358349,2.44022708391027,4.67804619721349,0.257616082790624,0,0,0.17,0,0,0.1357
2022-09-01,"RUS-3",2,284.81,522,1.83280081457814,2.77119483164215,2.66162722807056,1.02464298495553,0,0,0.09,0,0,0.0713
2022-09-15,"RUS-3",2,219.02,403,1.84001461053785,1.84829467628527,2.26137053513835,0.342684911792696,0,0,0.16,0,0,0.1221
2023-06-28,"SAL-1S",0.2,275,326,1.18545454545455,0.457111272727273,0.810880229066807,0.0751582408024374,0,0,0.1,0,0,0.0114
2023-07-13,"SAL-1S",0.4,236.75,337,1.42344244984161,0.236576135163675,0.344998376168418,0.11239428109366,0,0,0.16,0,0,0.0181
2023-07-27,"SAL-1S",0.6,275,288,1.04727272727273,0.431057454545455,0.361481292407933,0.0721303359867358,0,0,0.1,0,0,0.0113
2023-08-10,"SAL-1S",0.4,224,297,1.32589285714286,0.286392857142857,0.430738783101164,0.118481377283413,0,0,0.23,0,0,0.0256
2023-06-28,"SAL-2",0.3,278.27,356,1.27933302188522,0.63787544471197,1.18706053386944,0.00729649180509977,0,0,0.09,0,0,0.0097
2023-07-13,"SAL-2",0.6,265.52,317,1.19388369990961,0.382042783971076,0.705020458320261,0.113017599799924,0,0,0.08,0,0,0.0091
2023-07-27,"SAL-2",0.4,252.77,207,0.818926296633303,0.272620564149227,0.325725887756997,0.089045640206765,0,0,0.09,0,0,0.0095
2023-08-10,"SAL-2",0.1,236.75,255,1.07708553326294,0.110401267159451,0.159022225032117,0.0450875194786864,0,0,1.25,0,0,0.1379
2023-06-28,"SAL-3",0.2,237.25,499,2.10326659641728,0.800713593256059,1.19996637397155,0.239088728750512,0,0,0.08,0,0,0.0091
2023-07-13,"SAL-3",0.6,229,317,1.38427947598253,2.14466419213974,0.693740100942227,0.329051584709053,0,0,0.1,0,0,0.0115
2023-07-27,"SAL-3",0.3,237.25,393,1.65648050579557,0.311087038988409,0.464872391395045,0.152962691157449,0,0,0.64,0,0,0.0711
2023-08-10,"SAL-3",0.4,237.25,160,0.674394099051633,0.110465753424658,0.0791044675052166,0.0347433858139677,0,0,0.35,0,0,0.0362
